position_key	move_uci	probability	observations
rnbqkbnr/pppp1ppp/8/8/2B1P3/2p5/PP3PPP/RNBQK1NR b KQkq -	c3b2	0.333333	3
r1bqkb1r/ppp2ppp/5n2/3Pp1N1/2Bn4/8/PPPP1PPP/RNBQK2R w KQkq -	d5d6	1.000000	3
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq -	e7e5	1.000000	4
rnbqkbnr/pppp1ppp/8/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -	g8f6	0.666667	3
rnbqkbnr/pppp1ppp/8/8/4P3/2N5/PP3PPP/R1BQKBNR b KQkq -	f8c5	0.600000	5
rnbqk1nr/pppp1ppp/8/2b5/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq -	d7d6	1.000000	3
rnbqk1nr/ppp2ppp/3p4/2b4Q/2B1P3/2N5/PP3PPP/R1B1K1NR b KQkq -	g7g6	0.500000	2
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq -	e5f4	0.454545	11
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq -	f8c5	0.600000	5
rnbqk1nr/pppp1ppp/8/2b5/3PPp2/5N2/PPP3PP/RNBQKB1R b KQkq -	c5b6	0.500000	2
rnbqk1nr/ppp2ppp/1b1p4/8/2BPPB2/5N2/PPP3PP/RN1QK2R b KQkq -	g8f6	0.500000	2
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	e4d5	1.000000	7
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	1.000000	7
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -	c1g5	0.500000	4
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -	f1d3	1.000000	2
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	1.000000	5
r1bqk2r/ppp2pp1/2p2n2/2b4p/4P3/2PP4/PP2BPPP/RNBQK2R b KQkq -	c8g4	0.500000	2
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	0.833333	6
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	f3d4	0.750000	4
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -	g8f6	0.750000	8
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq -	d7d6	0.333333	3
r1bqkb1r/ppp2ppp/2np1n2/1B2p3/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -	c8g4	1.000000	2
r1bqkbnr/3ppppp/p1p5/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d4	1.000000	2
r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	b5c6	0.500000	2
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq -	c1b2	1.000000	2
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -	g8f6	0.666667	3
rnbqkbnr/ppp1pppp/8/8/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f3g5	1.000000	5
r1bqk1nr/pppp1ppp/2n5/b7/2B1P3/2p2N2/P4PPP/RNBQ1RK1 w kq -	d1b3	1.000000	6
r1b1k1nr/pppp1ppp/2n2q2/b7/2B1P3/1Qp2N2/P4PPP/RNB2RK1 w kq -	c1g5	0.500000	4
r1b1k1nr/pppp1ppp/2n3q1/b5B1/2B1P3/1Qp2N2/P4PPP/RN3RK1 w kq -	b1c3	1.000000	2
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -	f6g4	0.750000	4
r1bqk2r/pppp1ppp/2n2n2/2b1p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -	g5f7	1.000000	3
r1bqk2r/pppp1Npp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQK2R w KQkq -	e1f1	1.000000	3
r1b1k2r/ppppqNpp/2n2n2/4p3/2B1P3/8/PPPP1bPP/RNBQ1K1R w kq -	f7h8	1.000000	3
rnbqk1nr/ppp1bppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d4	0.800000	5
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -	f8c5	1.000000	2
r1bqk1nr/pppnbppp/3p4/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R w KQkq -	d4e5	1.000000	2
r1bqk1nr/ppp1bppp/3p4/4n3/2B1P3/5N2/PPP2PPP/RNBQK2R w KQkq -	f3e5	1.000000	2
r1bqk1nr/ppp1bppp/8/4p3/2B1P3/8/PPP2PPP/RNBQK2R w KQkq -	e1g1	0.500000	2
r1bqk2r/pppp1ppp/2n5/2b1p3/2B1P1n1/P1N2N2/1PPP1PPP/R1BQ1RK1 b kq -	d7d6	0.500000	2
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	1.000000	5
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	f3d4	0.800000	5
rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq -	b1c3	1.000000	3
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	c1e3	0.500000	2
r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R w KQkq -	c4b5	1.000000	6
r2qkb1r/pppb1ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -	d1e2	0.500000	2
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	f3e5	1.000000	6
r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -	e5c6	1.000000	2
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -	f2f3	0.500000	2
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -	d1b3	1.000000	2
r1b1kb1r/ppppqpp1/2n2n1p/4p3/2B1P3/1QP2N2/PP1P1PPP/RNB1K2R w KQkq -	d2d4	1.000000	2
3RQ3/5pkp/6p1/2pp4/3n3P/5qPK/8/8 b - -	f3f5	1.000000	2
3RQ3/5pkp/6p1/2pp1q2/3n3P/6P1/6K1/8 b - -	f5f3	1.000000	2
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -	e7e5	0.666667	3
r1bqkbnr/pppp1pp1/7p/4n3/2BNP3/8/PPP2PPP/RNBQK2R w KQkq -	c4b3	1.000000	2
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	1.000000	8
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	e4d5	1.000000	8
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	1.000000	8
rn1qkbnr/pp2pppp/8/3p4/3P2b1/5N2/PPP2PPP/RNBQKB1R w KQkq -	b1c3	1.000000	3
r2qkbnr/pp3ppp/2n1p3/1B1p4/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQkq -	h2h3	0.500000	2
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -	f8c5	1.000000	5
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -	a7a6	0.666667	6
2kB4/7p/p4R2/8/3pb3/1P2P3/P1r5/1K1R4 b - -	c2d2	1.000000	2
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq -	g8f6	1.000000	4
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/3P4/PPP3PP/RNBQKBNR b KQkq -	e5f4	0.500000	2
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -	f6g4	1.000000	4
r1bqkbnr/pp2pppp/2n5/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -	f1b5	0.666667	3
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -	c1f4	0.666667	3
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/2N2N2/PPP2PPP/R2QKB1R w KQkq -	c3b5	0.500000	2
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq -	g8f6	1.000000	2
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq -	f6e4	1.000000	2
